GSE_ID	Sample_ID	evidence_type	field_raw	value
GSE24205	GSM595318	disease_field	diagnosis.age	67y 11m
GSE24205	GSM595318	tissue_field	source_name_ch1	blood
GSE24205	GSM595318	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595319	disease_field	diagnosis.age	67y 3m
GSE24205	GSM595319	tissue_field	source_name_ch1	blood
GSE24205	GSM595319	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595320	tissue_field	source_name_ch1	blood
GSE24205	GSM595320	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595321	tissue_field	source_name_ch1	blood
GSE24205	GSM595321	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595322	disease_field	diagnosis.age	67y 5m
GSE24205	GSM595322	tissue_field	source_name_ch1	blood
GSE24205	GSM595322	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595323	tissue_field	source_name_ch1	blood
GSE24205	GSM595323	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595324	disease_field	diagnosis.age	55y 3m
GSE24205	GSM595324	tissue_field	source_name_ch1	blood
GSE24205	GSM595324	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595325	tissue_field	source_name_ch1	blood
GSE24205	GSM595325	tissue_field	cell.type	lymphoblastoid cell line
GSE24205	GSM595355	control_term	extract_protocol_ch1	Total RNA was extracted from treated and untreated cells with Trizol according to the manufacturer’s instructions (Invitrogen, Carlsbad, CA, USA). RNA yields were quantified using an ND-1000 spectrophotometer (Nanodrop Technologies, Wilmington, DE, USA).
GSE24205	GSM595355	control_term	treatment_protocol_ch1	The emetine treatment protocol was described previously by Ionov et al. (Oncogene 2004;23:639-645). Briefly, for each cell line, we treated half of the subconfluent cells with 100 μg/ml of emetine dihydrochloride hydrate (Fluka, Buchs, Switzerland) and the rest were used as untreated controls. Both the treated and untreated cells were incubated for 10 h at 37°C. After this, actinomycin D (Sigma-Aldrich) was added to the treated and untreated cells, and they were incubated for 4 h at 37°C. Cells were collected and pellets were snap-frozen.
GSE24205	GSM595355	control_term	extract_protocol_ch2	Total RNA was extracted from treated and untreated cells with Trizol according to the manufacturer’s instructions (Invitrogen, Carlsbad, CA, USA). RNA yields were quantified using an ND-1000 spectrophotometer (Nanodrop Technologies, Wilmington, DE, USA).
GSE24205	GSM595355	control_term	treatment_protocol_ch2	The emetine treatment protocol was described previously by Ionov et al. (Oncogene 2004;23:639-645). Briefly, for each cell line, we treated half of the subconfluent cells with 100 μg/ml of emetine dihydrochloride hydrate (Fluka, Buchs, Switzerland) and the rest were used as untreated controls. Both the treated and untreated cells were incubated for 10 h at 37°C. After this, actinomycin D (Sigma-Aldrich) was added to the treated and untreated cells, and they were incubated for 4 h at 37°C. Cells were collected and pellets were snap-frozen.
GSE24205	GSM595355	explicit_nmd_term	description	Gene expression after NMD inhibition, prostate cancer patient
GSE24205	GSM595355	explicit_nmd_term	treatment	NMD inhibited with Emetine and treated with Actinomycin D
GSE24205	GSM595355	named_agent	treatment_protocol_ch1	The emetine treatment protocol was described previously by Ionov et al. (Oncogene 2004;23:639-645). Briefly, for each cell line, we treated half of the subconfluent cells with 100 μg/ml of emetine dihydrochloride hydrate (Fluka, Buchs, Switzerland) and the rest were used as untreated controls. Both the treated and untreated cells were incubated for 10 h at 37°C. After this, actinomycin D (Sigma-Aldrich) was added to the treated and untreated cells, and they were incubated for 4 h at 37°C. Cells were collected and pellets were snap-frozen.
GSE24205	GSM595355	named_agent	treatment_protocol_ch2	The emetine treatment protocol was described previously by Ionov et al. (Oncogene 2004;23:639-645). Briefly, for each cell line, we treated half of the subconfluent cells with 100 μg/ml of emetine dihydrochloride hydrate (Fluka, Buchs, Switzerland) and the rest were used as untreated controls. Both the treated and untreated cells were incubated for 10 h at 37°C. After this, actinomycin D (Sigma-Aldrich) was added to the treated and untreated cells, and they were incubated for 4 h at 37°C. Cells were collected and pellets were snap-frozen.
GSE24205	GSM595355	named_agent	treatment	NMD inhibited with Emetine and treated with Actinomycin D
